Date,open_adj,high_adj,low_adj,close_adj,volume
2013-03-12,61.566666,61.70991,61.226472,61.521908,27575400
2013-03-13,61.602507,61.674129,61.226501,61.44136,34297300
2013-03-14,61.656209,61.781545,61.512965,61.647255,31530800
2013-03-15,61.691213,61.727107,61.323306,61.475857,30752600
2013-03-18,60.910532,61.592502,60.775938,61.341251,36163000
2013-03-19,61.529701,61.646351,60.677243,61.224613,33125100
2013-03-20,61.655319,61.78992,61.368175,61.655319,28035400
2013-03-21,61.089995,61.242539,60.811819,60.955395,30050800
2013-03-22,61.206687,61.592538,61.134899,61.547668,28837200
2013-03-25,61.745059,61.87966,61.027202,61.323315,24909800
2013-03-26,61.556613,61.67327,61.422012,61.655319,19725200
2013-03-27,61.233584,61.780954,61.143853,61.736092,22539500
2013-03-28,61.736094,61.969394,61.592518,61.888638,23662800
2013-04-01,61.933461,61.996273,61.29636,61.466854,28112800
2013-04-02,61.763013,62.157832,61.709168,61.95145,29431900
2013-04-03,61.987335,62.077066,61.233577,61.386127,35131200
2013-04-04,61.359222,61.556635,61.072077,61.404091,32287400
2013-04-05,60.434993,60.982363,60.291424,60.892632,55610800
2013-04-08,60.919529,61.233592,60.740066,61.215649,17891600
2013-04-09,61.377179,61.87968,61.099003,61.628429,30931400
2013-04-10,61.843764,62.965422,61.80787,62.830822,55271300
2013-04-11,62.678284,62.947485,62.606496,62.803909,37233600
2013-04-12,62.651344,62.803888,62.283444,62.759026,32783700
2013-04-15,62.525726,62.624432,61.448937,61.520718,48795800
2013-04-16,61.870697,62.409099,61.745072,62.337311,27682600
2013-04-17,61.798891,61.816834,60.757988,61.11692,60204800
2013-04-18,61.278442,61.314336,60.013208,60.273434,56798200
2013-04-19,60.390075,61.224589,60.300337,61.098957,43062800
2013-04-22,61.314357,61.951459,61.090026,61.727127,34412100
2013-04-23,62.077065,62.543671,61.754026,62.31934,53078300
2013-04-24,62.166802,62.516759,62.023233,62.292427,44500700
2013-04-25,62.453945,62.857746,62.44497,62.624439,26437100
2013-04-26,62.471905,62.606499,62.157835,62.427036,24079800
2013-04-29,62.624437,63.243594,62.597518,63.001312,31664000
2013-04-30,63.082074,63.467925,62.848768,63.45895,30135800
2013-05-01,63.476916,63.575623,63.037228,63.162853,28537200
2013-05-02,63.270529,64.096068,63.216685,63.961468,31744200
2013-05-03,64.580625,64.912631,64.526787,64.715225,34061700
2013-05-06,64.831884,65.065191,64.778046,64.966484,19244300
2013-05-07,65.074157,65.119026,64.688306,64.930588,25838100
2013-05-08,64.89468,65.298474,64.786998,65.244637,24252100
2013-05-09,65.119021,65.594603,65.02929,65.154915,29337200
2013-05-10,65.289488,65.576632,65.172831,65.549713,20663700
2013-05-13,65.442063,65.79202,65.37925,65.630501,29730100
2013-05-14,65.648442,66.168887,65.621517,65.971474,36009800
2013-05-15,65.845838,66.168876,65.684319,66.106064,27214400
2013-05-16,66.159942,66.491948,65.998422,66.034309,27253400
2013-05-17,66.375282,66.698321,66.159926,66.671402,31114500
2013-05-20,66.545728,66.788004,66.303446,66.572647,25132400
2013-05-21,66.536811,66.886768,66.303504,66.644485,25900000
2013-05-22,66.725184,67.254604,65.720176,66.061165,59843200
2013-05-23,65.477933,66.132977,65.352307,65.908646,48222100
2013-05-24,65.468941,65.890685,65.289478,65.872742,26430300
2013-05-28,66.644456,66.886738,66.097093,66.303474,27057100
2013-05-29,66.043248,66.222717,65.612535,65.98941,32090300
2013-05-30,66.01634,66.653441,65.998397,66.339378,32390500
2013-05-31,66.088127,66.590628,65.657407,65.729195,38347600
2013-06-03,65.738181,65.863806,64.993398,65.845856,47613100
2013-06-04,65.980427,66.240652,65.235644,65.504845,35251900
2013-06-05,65.289498,65.540749,64.598553,64.652397,48654200
2013-06-06,64.742152,64.975459,64.13197,64.966484,62524100
2013-06-07,65.235655,65.9266,65.074136,65.854813,31969800
2013-06-10,65.98042,66.186808,65.738145,65.881714,25390000
2013-06-11,65.226677,65.809934,65.002345,65.226677,40278900
2013-06-12,65.60358,65.630499,64.37424,64.472946,42081900
2013-06-13,64.383188,65.433058,64.203725,65.28949,28221500
2013-06-14,65.289507,65.361288,64.760081,64.858788,27690700
2013-06-17,65.370282,65.863814,65.14595,65.486938,32441900
2013-06-18,65.576651,66.15094,65.558701,66.025314,24853100
2013-06-19,66.043241,66.115029,65.217702,65.28949,43145100
2013-06-20,64.535738,64.751101,63.521761,63.737118,60908400
2013-06-21,63.713727,63.88476,62.867569,63.39867,51558900
2013-06-24,62.876543,63.254611,62.24643,62.768528,41492300
2013-06-25,63.371668,63.479684,62.840567,63.227638,28897400
2013-06-26,63.76772,63.91175,63.542679,63.794731,23742300
2013-06-27,64.127815,64.469883,64.028797,64.064804,23545000
2013-06-28,63.866733,64.53286,63.72271,64.154785,28301100
2013-07-01,64.58688,65.081974,64.487861,64.550873,24942800
2013-07-02,64.523873,64.973956,64.226817,64.577881,23067900
2013-07-03,64.343834,65.14498,64.289819,64.838921,18847500
2013-07-05,65.207992,65.361019,64.685895,65.334015,28795900
2013-07-08,65.676068,65.703071,65.15397,65.397018,20558500
2013-07-09,65.703106,65.937151,65.397053,65.793121,26108600
2013-07-10,65.730079,66.270184,65.694079,66.171165,25598900
2013-07-11,66.882296,67.539413,66.837285,67.485405,47768900
2013-07-12,67.530434,67.82749,67.350403,67.782486,31412600
2013-07-15,67.854452,67.980475,67.665418,67.935471,19783600
2013-07-16,67.989528,68.043535,67.674471,67.845505,31747100
2013-07-17,68.052533,68.178555,67.827491,68.016525,24631500
2013-07-18,68.007535,68.178562,67.737482,67.845505,36278800
2013-07-19,67.26039,67.27839,66.945333,67.143364,37732400
2013-07-22,67.395415,67.494434,67.134366,67.3414,21135900
2013-07-23,67.467416,67.476419,66.792291,66.846306,24739500
2013-07-24,67.503419,67.530423,66.909313,67.06234,24426900
2013-07-25,67.377383,67.566417,67.026319,67.485405,23162200
2013-07-26,67.215385,67.854501,67.107369,67.845505,20885600
2013-07-29,67.710456,67.998509,67.539422,67.71946,20958400
2013-07-30,67.962479,68.367551,67.827453,68.079498,24104600
2013-07-31,68.214555,68.601626,68.079529,68.205551,25007600
2013-08-01,68.67364,68.9977,68.601625,68.898682,16880000
2013-08-02,68.907691,69.303759,68.754658,69.285759,18105300
2013-08-05,69.24973,69.384756,69.114704,69.330742,15462800
2013-08-06,69.240755,69.303766,68.637645,68.916695,23675400
2013-08-07,68.71865,68.925691,68.295578,68.790665,20281200
2013-08-08,69.168729,69.294759,68.682646,69.132729,19994000
2013-08-09,69.015691,69.258739,68.655623,68.853661,18558500
2013-08-12,68.592645,69.141747,68.583648,69.015724,20515900
2013-08-13,69.105699,69.555782,68.610613,69.402756,23917000
2013-08-14,69.375761,69.47478,69.042697,69.141716,29921000
2013-08-15,68.367572,68.40358,67.773467,67.971504,39406600
2013-08-16,67.980504,68.295568,67.827478,67.944504,23825000
2013-08-19,67.953499,68.529605,67.809476,67.827477,29586900
2013-08-20,67.953501,68.439591,67.899493,68.124535,18842800
2013-08-21,67.908495,68.493597,67.638442,67.890488,30705100
2013-08-22,68.187562,68.601637,68.151554,68.556633,17269500
2013-08-23,69.042728,69.105739,68.772682,69.015724,20697300
2013-08-26,69.069727,69.564814,68.907697,69.05172,27525500
2013-08-27,68.232556,68.574616,67.476413,67.638443,40068900
2013-08-28,67.557445,68.187558,67.557445,67.899506,20490400
2013-08-29,67.881507,68.718655,67.782489,68.376595,27287900
2013-08-30,68.448564,68.448564,67.692422,67.935471,26228500
2013-09-03,68.493582,68.808646,67.998495,68.322556,27241500
2013-09-04,68.556633,69.168739,68.349591,69.05172,27142900
2013-09-05,69.096701,69.366746,69.069697,69.168709,17809700
2013-09-06,69.402767,69.618805,68.457597,69.249741,27715100
2013-09-09,69.546812,70.176925,69.519808,70.059906,25161900
2013-09-10,70.464943,70.500951,70.140883,70.401932,27619400
2013-09-11,69.933903,70.311971,69.843881,70.26696,28132900
2013-09-12,70.284928,70.437954,70.077886,70.221916,18332700
2013-09-13,70.293964,70.338975,69.888892,70.26696,16932500
2013-09-16,70.861043,70.861043,69.915866,70.077896,25704300
2013-09-17,70.230911,70.63599,70.194911,70.545975,27174300
2013-09-18,70.653985,71.53615,70.509962,71.39212,31714700
2013-09-19,71.617171,71.734197,71.437141,71.563164,26435700
2013-09-20,71.732885,71.814146,71.28145,71.317566,26328900
2013-09-23,71.61553,71.696792,70.839062,71.173126,30319400
2013-09-24,71.326612,71.552329,70.938378,71.173126,21871300
2013-09-25,71.227323,71.326639,70.784919,70.929375,22746400
2013-09-26,71.21827,71.65165,71.191185,71.480103,22421700
2013-09-27,71.064775,71.51621,70.956429,71.389809,25151600
2013-09-30,70.649465,71.407871,70.423747,71.218269,28031900
2013-10-01,71.2273,71.976683,71.191184,71.940567,33129700
2013-10-02,71.452995,72.012776,71.380764,71.91346,25503800
2013-10-03,71.823182,71.976668,70.694596,71.073799,42998200
2013-10-04,71.073809,71.787075,71.010608,71.687759,22852700
2013-10-07,71.055773,71.642639,71.028688,71.091888,20227100
2013-10-08,71.091878,71.155078,69.692436,69.719521,43660700
2013-10-09,69.882018,69.918134,68.934004,69.502815,64526700
2013-10-10,70.252205,71.137019,70.234151,70.974503,48062700
2013-10-11,70.793942,71.588464,70.784911,71.534294,25214100
2013-10-14,71.091864,72.039879,71.037694,72.039879,31471900
2013-10-15,71.985727,72.328815,71.669717,71.76001,38684000
2013-10-16,72.094059,72.608694,72.039889,72.572578,46735900
2013-10-17,72.247533,73.014976,72.184332,72.987885,32193500
2013-10-18,73.656042,74.197762,73.448379,74.170677,39628200
2013-10-21,74.342176,74.522754,74.098405,74.333153,31176900
2013-10-22,74.622114,74.847831,73.972047,74.441536,43944800
2013-10-23,74.080367,74.215791,73.628932,73.990074,38021300
2013-10-24,74.035199,74.468579,73.926853,74.315086,23155100
2013-10-25,75.010333,75.190904,74.486668,74.847816,35824500
2013-10-28,74.856829,74.98323,74.531795,74.865852,28618400
2013-10-29,75.11865,75.172826,74.667215,74.992249,36878100
2013-10-30,75.254078,75.380479,74.558872,74.920021,33535500
2013-10-31,74.730428,75.208954,74.468602,74.748489,31309900
2013-11-01,75.001319,75.091604,74.396398,74.766571,30867800
2013-11-04,74.992264,75.001294,74.61306,74.874893,16834000
2013-11-05,74.585974,75.136724,74.369287,74.956146,27975600
2013-11-06,75.272167,75.299252,74.694331,74.938103,25576800
2013-11-07,74.947113,75.055453,73.466409,73.52961,52173200
2013-11-08,73.800506,74.540859,73.59285,74.522804,31470500
2013-11-11,74.414442,74.613074,74.16164,74.405418,24822900
2013-11-12,74.179717,74.631151,74.143601,74.522804,20108500
2013-11-13,74.035225,75.434675,74.035225,75.425644,31345900
2013-11-14,75.22702,75.71457,75.064504,75.6604,31101200
2013-11-15,75.678439,75.80484,75.488837,75.80484,20511300
2013-11-18,75.786789,75.940275,74.920036,75.064491,31679600
2013-11-19,75.019357,75.380506,74.721415,74.847816,25545300
2013-11-20,75.046462,75.326349,74.450565,74.667252,32177400
2013-11-21,74.98324,75.488844,74.92004,75.425644,28125000
2013-11-22,75.55203,75.859002,75.49786,75.831917,25361300
2013-11-25,76.10279,76.184045,75.822903,76.012505,21695100
2013-11-26,76.030549,76.599353,75.868032,76.409752,26621000
2013-11-27,76.563248,76.960506,76.500048,76.942451,21638100
2013-11-29,77.249423,77.502225,77.168168,77.402916,16708900
2013-12-02,77.49318,77.61055,77.0598,77.177177,26354600
2013-12-03,77.123045,77.321677,76.816073,77.114021,37147000
2013-12-04,76.788938,77.438997,76.54516,77.186195,37193200
2013-12-05,77.249446,77.339738,76.897328,77.086929,39829300
2013-12-06,77.736953,77.809184,77.276488,77.646667,36842900
2013-12-09,77.9627,78.125217,77.827268,77.9627,22590000
2013-12-10,77.8363,78.052987,77.755045,77.908531,26965900
2013-12-11,77.899503,78.00785,76.798002,76.906349,36830600
2013-12-12,76.93342,77.123021,76.653533,76.707703,33662600
2013-12-13,77.068871,77.104987,76.482005,76.608406,34072000
2013-12-16,76.987599,77.475149,76.933429,77.032745,24902500
2013-12-17,77.032758,77.22236,76.73481,76.879272,24454900
2013-12-18,76.969542,77.845325,75.886102,77.773094,68387200
2013-12-19,77.646705,77.655735,77.213325,77.556419,44964100
2013-12-20,77.703165,78.50927,77.648823,78.346237,40475400
2013-12-23,78.989251,79.170403,78.753758,79.170403,28181800
2013-12-24,79.188546,79.261006,79.043625,79.206657,13852500
2013-12-26,79.351587,79.532731,79.197613,79.46933,15241100
2013-12-27,79.568983,79.614273,79.170463,79.270088,15827400
2013-12-30,79.152321,79.261012,78.925887,79.152321,18983700
2013-12-31,79.297254,79.668602,79.270076,79.668602,24890500
2014-01-02,79.29726,79.324431,78.817214,79.043648,29177500
2014-01-03,79.043626,79.116087,78.454903,78.473015,35723700
2014-01-06,78.491136,78.581708,77.893346,78.183182,32073100
2014-01-07,78.545472,79.025512,78.400551,78.907768,25860600
2014-01-08,78.925883,79.297239,78.753791,79.079857,27197400
2014-01-09,79.369684,79.378744,78.545468,78.817184,23674700
2014-01-10,79.007392,79.161365,78.418662,79.070793,38008900
2014-01-13,78.96213,79.233854,77.603525,77.90242,48842300
2014-01-14,78.165067,79.451211,78.165067,79.38781,37178900
2014-01-15,79.731986,80.193913,79.650473,80.03994,39835600
2014-01-16,79.976535,80.166739,79.849732,80.048988,31630100
2014-01-17,79.804476,80.039969,79.405949,79.596153,36895800
2014-01-21,80.103364,80.239219,79.532745,80.202995,26412700
2014-01-22,80.411293,80.610556,80.1758,80.411293,29376900
2014-01-23,80.166743,80.175796,79.578013,80.139572,35011900
2014-01-24,79.750134,79.867877,78.536443,78.563614,63974600
2014-01-27,78.563626,78.699488,77.21408,77.802811,63519300
2014-01-28,77.440516,77.839043,77.268424,77.757523,44378800
2014-01-29,77.087258,77.657869,76.770251,76.924225,51939300
2014-01-30,77.866198,78.617961,77.784678,78.346237,65833600
2014-01-31,77.476695,78.509234,77.395175,78.137878,45187000
2014-02-03,77.992976,78.346213,76.145273,76.344536,65596900
2014-02-04,76.734013,77.214052,76.498519,76.906105,37675500
2014-02-05,76.652514,76.97858,75.846409,76.706863,41721800
2014-02-06,76.933287,77.784675,76.915168,77.685043,32308600
2014-02-07,78.119767,79.125135,77.893333,79.070793,38359400
2014-02-10,79.043643,79.559913,78.989301,79.523689,30205400
2014-02-11,79.695761,80.583386,79.605189,80.429413,38635500
2014-02-12,80.592426,80.764511,80.338814,80.583366,32507200
2014-02-13,79.99464,81.244554,79.976528,81.181152,40454500
2014-02-14,81.154004,81.525359,80.909458,81.344208,33212400
2014-02-18,81.480057,81.896695,81.280794,81.742722,29546600
2014-02-19,81.588738,81.778942,81.01812,81.181152,41749900
2014-02-20,81.235534,81.715573,80.89135,81.5616,41814800
2014-02-21,81.824252,81.942002,81.353272,81.452904,31192200
2014-02-24,81.643082,82.258983,81.552509,81.887634,31500400
2014-02-25,82.005396,82.168429,81.534409,81.797073,26771700
2014-02-26,82.01446,82.277118,81.398559,81.724625,42953700
2014-02-27,81.736462,82.336727,81.609133,82.254875,28742400
2014-02-28,82.236641,82.72777,81.436287,82.163879,48609800
2014-03-03,81.390825,81.772819,80.826942,81.554535,38885700
2014-03-04,82.445839,82.745974,82.36398,82.591354,33189000
2014-03-05,82.727777,82.964248,82.554971,82.818726,27203300
2014-03-06,83.009727,83.073392,82.445844,82.745979,24063900
2014-03-07,83.009757,83.091615,81.918363,82.336731,31167800
2014-03-10,82.291253,82.454962,81.881975,82.409485,18131700
2014-03-11,82.609565,82.818745,81.809203,82.054771,27484300
2014-03-12,81.681853,82.409453,81.381725,82.363976,27977200
2014-03-13,82.673231,82.700515,80.826954,81.199844,48542000
2014-03-14,80.936081,81.290784,80.608662,80.645042,38732300
2014-03-17,81.16343,81.772798,81.11796,81.354424,28467200
2014-03-18,81.454518,82.436776,81.427234,82.336731,31250200
2014-03-19,82.36398,82.454935,81.354438,81.891045,40869400
2014-03-20,81.636392,82.363984,81.472682,82.118423,31634500
