timestamp	commit	strategy	status	full_return_pct	avg_outperformance	avg_trades_yr	avg_win_rate	avg_sharpe	worst_maxdd	description
2026-04-05 16:43:21	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1087.93	1.969	18.97	0.6998	1.4205	-23.68	return=+1087.9% | avg_outperf=1.97x | trades/yr=19.0 | win=70.0% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 16:45:29	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	982.79	1.7817	18.33	0.7061	1.3665	-27.54	return=+982.8% | avg_outperf=1.78x | trades/yr=18.3 | win=70.6% | sharpe=1.37 | maxDD=-27.5%
2026-04-05 16:48:02	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1010.43	1.8462	18.7	0.696	1.375	-23.68	return=+1010.4% | avg_outperf=1.85x | trades/yr=18.7 | win=69.6% | sharpe=1.38 | maxDD=-23.7%
2026-04-05 16:50:33	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1009.94	1.8456	18.55	0.6937	1.3747	-23.68	return=+1009.9% | avg_outperf=1.85x | trades/yr=18.5 | win=69.4% | sharpe=1.37 | maxDD=-23.7%
2026-04-05 16:53:49	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1087.93	1.969	18.97	0.6998	1.4205	-23.68	return=+1087.9% | avg_outperf=1.97x | trades/yr=19.0 | win=70.0% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 17:03:02	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	985.57	1.8748	19.32	0.6964	1.3967	-23.68	return=+985.6% | avg_outperf=1.87x | trades/yr=19.3 | win=69.6% | sharpe=1.40 | maxDD=-23.7%
2026-04-05 17:06:15	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	970.67	1.7601	12.05	0.6683	1.2548	-28.64	return=+970.7% | avg_outperf=1.76x | trades/yr=12.1 | win=66.8% | sharpe=1.25 | maxDD=-28.6%
2026-04-05 17:09:08	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1048.15	1.9469	18.97	0.7023	1.4121	-23.68	return=+1048.1% | avg_outperf=1.95x | trades/yr=19.0 | win=70.2% | sharpe=1.41 | maxDD=-23.7%
2026-04-05 17:12:08	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1053.16	1.95	18.97	0.7061	1.4122	-23.68	return=+1053.2% | avg_outperf=1.95x | trades/yr=19.0 | win=70.6% | sharpe=1.41 | maxDD=-23.7%
2026-04-05 17:14:57	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1094.64	1.9932	19.82	0.7077	1.4285	-23.68	return=+1094.6% | avg_outperf=1.99x | trades/yr=19.8 | win=70.8% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 17:19:05	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1078.5	1.9831	19.67	0.7082	1.4235	-23.68	return=+1078.5% | avg_outperf=1.98x | trades/yr=19.7 | win=70.8% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 17:19:54	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1094.64	1.9932	19.82	0.7077	1.4285	-23.68	return=+1094.6% | avg_outperf=1.99x | trades/yr=19.8 | win=70.8% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 17:23:34	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1091.19	1.9859	18.71	0.7195	1.4167	-23.68	return=+1091.2% | avg_outperf=1.99x | trades/yr=18.7 | win=71.9% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 17:26:39	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1001.83	1.8249	20.1	0.7024	1.3974	-23.68	return=+1001.8% | avg_outperf=1.82x | trades/yr=20.1 | win=70.2% | sharpe=1.40 | maxDD=-23.7%
2026-04-05 17:28:20	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	959.08	1.822	20.82	0.6885	1.3924	-23.68	return=+959.1% | avg_outperf=1.82x | trades/yr=20.8 | win=68.8% | sharpe=1.39 | maxDD=-23.7%
2026-04-05 17:36:27	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1094.64	1.9932	19.82	0.7077	1.4285	-23.68	return=+1094.6% | avg_outperf=1.99x | trades/yr=19.8 | win=70.8% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 17:41:16	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	942.47	1.6732	20.99	0.6916	1.3701	-23.18	return=+942.5% | avg_outperf=1.67x | trades/yr=21.0 | win=69.2% | sharpe=1.37 | maxDD=-23.2%
2026-04-05 17:47:18	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1005.29	1.8667	33.97	0.6128	1.3473	-26.17	return=+1005.3% | avg_outperf=1.87x | trades/yr=34.0 | win=61.3% | sharpe=1.35 | maxDD=-26.2%
2026-04-05 17:47:50	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1009.99	1.7989	19.23	0.7144	1.3866	-23.68	return=+1010.0% | avg_outperf=1.80x | trades/yr=19.2 | win=71.4% | sharpe=1.39 | maxDD=-23.7%
2026-04-05 17:56:46	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1081.06	2.0071	19.6	0.7041	1.419	-23.68	return=+1081.1% | avg_outperf=2.01x | trades/yr=19.6 | win=70.4% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 17:57:44	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	988.9	1.8047	19.18	0.714	1.3744	-27.54	return=+988.9% | avg_outperf=1.80x | trades/yr=19.2 | win=71.4% | sharpe=1.37 | maxDD=-27.5%
2026-04-05 17:59:36	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	911.79	1.7365	18.04	0.6811	1.2994	-24.06	return=+911.8% | avg_outperf=1.74x | trades/yr=18.0 | win=68.1% | sharpe=1.30 | maxDD=-24.1%
2026-04-05 18:01:14	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1020.76	1.8605	19.65	0.7051	1.4001	-23.68	return=+1020.8% | avg_outperf=1.86x | trades/yr=19.6 | win=70.5% | sharpe=1.40 | maxDD=-23.7%
